SrcIP; DstIP; Type; Query; Response; Response Value
192.168.2.1;192.168.2.3;1;alt1-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt1-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt1-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt1-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt1-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt2-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt2-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt2-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt2-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt2-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt3-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt3-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt3-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt3-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt4-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt4-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt4-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt4-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt4-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt5-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt5-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt5-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt5-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt5-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt6-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt6-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt6-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt7-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt7-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt7-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt8-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt8-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt8-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;alt8-mtalk.google.com;;
192.168.2.1;192.168.2.3;1;amdc.m.taobao.com;;
192.168.2.1;192.168.2.3;1;amdc.m.taobao.com;;
192.168.2.1;192.168.2.3;1;amdc.m.taobao.com;;
192.168.2.1;192.168.2.3;1;amdc.m.taobao.com;;
192.168.2.1;192.168.2.3;1;amdc.m.taobao.com;;
192.168.2.1;192.168.2.3;1;android.clients.google.com;;
192.168.2.1;192.168.2.3;1;api.accuweather.com;;
192.168.2.1;192.168.2.3;1;clients3.google.com;;
192.168.2.1;192.168.2.3;1;clients3.google.com;;
192.168.2.1;192.168.2.3;1;clients3.google.com;;
192.168.2.1;192.168.2.3;1;clients3.google.com;;
192.168.2.1;192.168.2.3;1;clients3.google.com;;
192.168.2.1;192.168.2.3;1;clients4.google.com;;
192.168.2.1;192.168.2.3;1;connectivitycheck.gstatic.com;;
192.168.2.1;192.168.2.3;1;connectivitycheck.gstatic.com;;
192.168.2.1;192.168.2.3;1;connectivitycheck.gstatic.com;;
192.168.2.1;192.168.2.3;1;cyrus.cesnet.cz;;
192.168.2.1;192.168.2.3;1;cyrus.cesnet.cz;;
192.168.2.1;192.168.2.3;1;cyrus.cesnet.cz;;
192.168.2.1;192.168.2.3;1;cyrus.cesnet.cz;;
192.168.2.1;192.168.2.3;1;cyrus.cesnet.cz;;
192.168.2.1;192.168.2.3;1;iphone-xml.booking.com;;
192.168.2.1;192.168.2.3;1;kazi.fit.vutbr.cz;;
192.168.2.1;192.168.2.3;1;kazi.fit.vutbr.cz;;
192.168.2.1;192.168.2.3;1;mtalk4.google.com;;
192.168.2.1;192.168.2.3;1;mtalk4.google.com;;
192.168.2.1;192.168.2.3;1;mtalk4.google.com;;
192.168.2.1;192.168.2.3;1;mtalk4.google.com;;
192.168.2.1;192.168.2.3;1;mtalk4.google.com;;
192.168.2.1;192.168.2.3;1;mtalk4.google.com;;
192.168.2.1;192.168.2.3;1;mtalk4.google.com;;
192.168.2.1;192.168.2.3;1;play.googleapis.com;;
192.168.2.1;192.168.2.3;1;play.googleapis.com;;
192.168.2.1;192.168.2.3;1;play.googleapis.com;;
192.168.2.1;192.168.2.3;1;umengjmacs.m.taobao.com;;
192.168.2.1;192.168.2.3;1;velb-pue1gld-312177699.eu-west-1.elb.amazonaws.com;;
192.168.2.1;192.168.2.3;1;velb-pue1gld-312177699.eu-west-1.elb.amazonaws.com;;
192.168.2.1;192.168.2.3;1;velb-pue1gld-312177699.eu-west-1.elb.amazonaws.com;;
192.168.2.1;192.168.2.3;1;velb-pue1gld-312177699.eu-west-1.elb.amazonaws.com;;
192.168.2.1;192.168.2.3;1;velb-pue1gld-312177699.eu-west-1.elb.amazonaws.com;;
192.168.2.1;192.168.2.3;1;velb-pue1gld-312177699.eu-west-1.elb.amazonaws.com;;
192.168.2.1;192.168.2.3;1;www.googleapis.com;;
192.168.2.1;192.168.2.3;28;umengjmacs.m.taobao.com;;
